"documento_id","titulo","tipo_documento","categoria","subcategoria","fecha","equipo_id","dataset_id","modelo_id","experimento_id","componente","capa_medallion","nivel_confidencialidad","version","estado","activo","palabras_clave","contenido"
"DOC-011","Propuesta: replicacion incremental nocturna hacia el warehouse analitico","propuesta_mejora","oltp_olap","replicacion","2026-03-05","EQ02","","","","postgres-warehouse","","interno","1.0","vigente","true","replicacion nocturna|carga incremental|dimensiones y hechos","Propuesta de mejora - Ingenieria de Datos (EQ02).

Para dar cumplimiento a la decision de separar la carga operativa de la analitica, se propone automatizar un proceso de replicacion incremental que copie, cada noche, las altas y modificaciones del dia desde la base operativa hacia las dimensiones y la tabla de hechos del warehouse analitico.

Hoy esa carga se ejecuta de forma manual y a demanda, lo que genero parte del problema: distintas personas ejecutaban consultas directamente contra el origen cuando el proceso de carga a Oro no se habia corrido recientemente. Automatizar la cadencia elimina esa tentacion.

La propuesta contempla tres pasos: primero, un proceso liviano detecta filas nuevas o modificadas desde la ultima ejecucion exitosa; segundo, esas filas se transforman y validan siguiendo las mismas reglas ya usadas para poblar dimensiones y hechos; tercero, la carga se aplica dentro de una transaccion unica, de modo que un reporte nunca vea el warehouse a medio actualizar.

Se estima que este cambio, ademas de resolver la contencion original, mejora la actualidad de los indicadores: hoy el reporte mensual usa datos de hasta cuatro semanas de antiguedad porque la carga a Oro no sigue un cronograma fijo. Con la replicacion nocturna, el desfase maximo esperado baja a un dia."
"DOC-012","Modelo dimensional del warehouse analitico: hechos, dimensiones y tabla puente","informe_tecnico","warehouse_analitico","modelado_dimensional","2026-01-20","EQ02","","","","postgres-warehouse","","interno","1.0","archivado","false","modelo dimensional|hechos y dimensiones|grano|tabla puente","Ingenieria de Datos (EQ02) documenta el modelo dimensional vigente a enero de 2026 para el warehouse analitico de la plataforma.

El esquema define dimensiones descriptivas -fecha, usuario, dataset, experimento, metrica y modelo- y una tabla de hechos que registra una metrica concreta asociada a un experimento en un momento determinado. Dado que un experimento puede involucrar mas de un modelo, y una metrica de origen no siempre identifica a cual de ellos corresponde, se incorpora una tabla puente que resuelve la relacion de muchos a muchos entre experimentos y modelos sin forzar una atribucion inventada dentro del hecho.

El diseno no sigue un esquema estrella puro: algunas dimensiones se relacionan entre si (por ejemplo, un dataset remite al equipo que lo genero), lo que lo aproxima a un esquema copo de nieve parcial. Esta decision prioriza evitar duplicar atributos descriptivos en cada dimension por sobre la simplicidad maxima de un esquema estrictamente estrella.

Se documenta tambien que el grano del hecho -una metrica por experimento y fecha/hora- es la unidad minima de analisis soportada hoy: cualquier consulta que necesite un nivel de detalle menor requeriria extender el modelo, no forzar el actual.

Este informe queda como referencia historica del diseno original; una nota de implementacion posterior documenta una extension aplicada sobre este esquema."
"DOC-013","ETL o ELT para la nueva fuente de eventos de inferencia","evaluacion_alternativas","warehouse_analitico","etl_elt","2026-03-10","EQ02","","","","duckdb-transformer","","interno","1.0","vigente","true","ETL|ELT|transformar antes de cargar|carga cruda","Ingenieria de Datos (EQ02) evalua dos estrategias posibles para incorporar una nueva fuente de eventos de inferencia al pipeline analitico.

Alternativa ETL: transformar, validar y tipar los eventos antes de cargarlos a cualquier destino, usando duckdb-transformer como motor intermedio. Ventaja: el warehouse analitico solo recibe datos ya conformes al modelo dimensional, sin necesidad de limpieza posterior. Desventaja: cualquier error de transformacion detectado tarde obliga a reprocesar desde el origen, y el volumen creciente de eventos hace que ese paso intermedio sea cada vez mas largo.

Alternativa ELT: cargar los eventos crudos, sin transformar, en una capa de aterrizaje equivalente a Bronce y aplicar las transformaciones despues, dentro del mismo motor de destino o en un paso posterior. Ventaja: la carga inicial es mas rapida y no depende de reglas de negocio definidas de antemano; la evidencia original queda disponible para auditoria o reproceso. Desventaja: exige mas capacidad de computo en el destino y posterga la deteccion de errores de calidad.

Dado que los eventos de inferencia crecen en volumen de forma menos predecible que las entidades operativas actuales, y que ya existe una capa Bronce pensada para aterrizar datos sin transformar, se inclina la evaluacion hacia ELT para esta fuente en particular, manteniendo ETL para las cargas hacia Oro que si requieren datos ya validados."
"DOC-014","Duplicados detectados en la tabla de hechos tras un reproceso parcial","reporte_calidad","warehouse_analitico","reconciliacion","2026-03-15","EQ04","","","EX07","postgres-warehouse","","restringido","1.0","vigente","true","reconciliacion|hechos duplicados|reproceso historico","Reporte de calidad - Gobierno de Datos y Calidad (EQ04).

Durante la verificacion mensual de integridad del warehouse analitico se detecto una discrepancia: el total de metricas registradas en la tabla de hechos superaba en 214 filas al total esperado segun el conteo de origen para el mismo periodo.

La causa identificada fue un reproceso parcial ejecutado a mediados de febrero para corregir un error de clasificacion en el experimento EX07 (Fraude v2): el proceso de carga volvio a insertar las metricas de ese experimento sin eliminar previamente las filas ya cargadas en la ejecucion anterior, generando duplicados exactos.

Se verifico que el problema no afecta a otros experimentos ni a otras fechas: esta acotado a un unico reproceso puntual, no es un defecto sistematico del proceso de carga habitual, que si elimina y repuebla dentro de una transaccion cuando corre de forma completa.

Accion correctiva: se identificaron y eliminaron las 214 filas duplicadas mediante clave compuesta de experimento, metrica y fecha/hora. Se recomienda que todo reproceso parcial, aun cuando afecte a un solo experimento, pase por el mismo mecanismo transaccional de eliminar-y-repoblar que ya usa la carga completa, en lugar de ejecutarse como una insercion aislada.

Se deja abierta una tarea de seguimiento para automatizar una verificacion de duplicados posterior a cualquier reproceso manual, antes de dar por cerrada la correccion."
"DOC-015","Extension del modelo dimensional: incorporacion de la dimension equipo","nota_implementacion","warehouse_analitico","modelado_dimensional","2026-04-02","EQ02","","","","postgres-warehouse","","interno","2.0","vigente","true","extension del modelo|nueva dimension|control de version de esquema","Nota de implementacion - Ingenieria de Datos (EQ02).

Se documenta la extension aplicada sobre el modelo dimensional descripto en el informe tecnico de enero (version 1.0, ahora archivada). El esquema original no incluia una dimension de equipo, lo que obligaba a Analitica de Negocio a inferir manualmente que area habia generado cada dataset o modelo cruzando planillas externas al warehouse.

Se incorporo una dimension de equipo y se vinculo tanto a la dimension de dataset como a la de modelo, sin modificar el grano del hecho ni la tabla puente existente entre experimentos y modelos. La carga de esta nueva dimension se resuelve con el mismo mecanismo de eliminar-y-repoblar dentro de transaccion que ya usaban las dimensiones previas.

Se valido, sobre los lotes de datos existentes, que ningun hecho ni participacion previa cambio de valor tras la extension: el cambio es aditivo. Los reportes construidos antes de esta version siguen funcionando sin modificacion; los nuevos reportes de Analitica de Negocio ya pueden filtrar y agrupar indicadores por equipo responsable directamente en el warehouse, sin cruces manuales.

Esta version reemplaza a la anterior como referencia vigente del modelo dimensional. El informe de enero se conserva como registro historico del diseno original, util para entender por que la tabla puente existe y por que el grano del hecho no incluye el modelo directamente."
"DOC-016","Carpetas sin propietario ni descripcion en el almacenamiento de objetos","registro_incidente","data_lake","gobierno_metadatos","2026-02-08","EQ04","DS04","","","minio-datalake","","interno","1.0","vigente","true","archivos sin propietario|sin metadatos|dificultad para encontrar datos","Gobierno de Datos y Calidad (EQ04) reporta una dificultad creciente para orientarse dentro del almacenamiento de objetos de la plataforma.

Al revisar el prefijo de aterrizaje de minio-datalake, se encontraron mas de cuarenta carpetas cuyo nombre no sigue ninguna convencion reconocible, sin un responsable identificable, sin fecha de creacion legible en el nombre y sin ningun archivo de descripcion que indique que contienen o para que experimento se generaron. Varias personas consultadas coincidieron en que ""podrian ser de cultivos o de sensores, pero no estamos seguros"" al ver unicamente el nombre del objeto.

Esto ya genero un costo concreto: dos integrantes distintos de Ciencia de Datos e IA volvieron a generar, en momentos distintos, una extraccion practicamente identica del dataset de sensores industriales (DS04) porque ninguno encontro evidencia de que ya existiera una copia previa procesada.

El problema no es de capacidad de almacenamiento -el volumen ocupado sigue siendo manejable- sino de orientacion: a medida que se acumulan objetos sin metadatos minimos, encontrar lo que ya existe se vuelve mas lento que volver a generarlo desde cero, lo cual multiplica el uso de espacio sin ninguna necesidad real.

Se eleva como incidente para que Gobierno de Datos y Calidad defina requisitos minimos de metadatos antes de que la situacion se agrave con el crecimiento esperado de nuevos datasets."
"DOC-017","Relevamiento de archivos duplicados en el prefijo de aterrizaje","analisis_resultados","data_lake","duplicados","2026-02-14","EQ04","","","","minio-datalake","","interno","1.0","vigente","true","archivos duplicados|huella de contenido|espacio ocupado","Gobierno de Datos y Calidad (EQ04) completo un relevamiento sobre el incidente de orientacion reportado a comienzos de mes, con foco especifico en duplicacion de archivos.

Se calculo una huella de contenido para cada objeto dentro del prefijo de aterrizaje de minio-datalake y se agruparon los que coinciden exactamente. El resultado: 37 pares o grupos de archivos identicos en contenido, aunque con nombres distintos, que en conjunto ocupan un volumen equivalente a casi el 18% del espacio total usado en ese prefijo.

De esos 37 grupos, 22 corresponden a extracciones repetidas del mismo dataset por distintas personas en fechas cercanas, sin que mediara ninguna modificacion real entre una copia y otra. Los 15 restantes corresponden a copias de seguridad manuales que sus autores guardaron ""por las dudas"" antes de una prueba y nunca eliminaron.

Ningun caso corresponde a una corrupcion de datos ni a un error de carga: son duplicados exactos, generados por falta de visibilidad sobre lo que ya existia, tal como se anticipaba en el incidente inicial.

Se concluye que el problema no requiere una solucion tecnica de deduplicacion automatica en esta etapa, sino una politica de nombrado y metadatos que permita a cualquier persona verificar, antes de generar un archivo nuevo, si ya existe una version equivalente. Se eleva esta conclusion como insumo para una decision de gobierno."
"DOC-018","Decision: metadatos obligatorios para todo objeto nuevo del data lake","decision_arquitectura","data_lake","gobierno_metadatos","2026-02-28","EQ04","","","","minio-datalake","","interno","1.0","vigente","true","politica de metadatos|propietario obligatorio|convencion de nombrado","Gobierno de Datos y Calidad (EQ04), con acuerdo de Ingenieria de Datos (EQ02), formaliza una decision de arquitectura sobre el uso del almacenamiento de objetos minio-datalake.

A partir de esta fecha, ningun objeto nuevo puede incorporarse al prefijo de aterrizaje sin tres metadatos obligatorios adjuntos: equipo responsable, fecha de generacion y una descripcion breve del contenido y su proposito. Esta obligacion se aplica a nivel de convencion de nombrado y de un archivo de acompanamiento, no requiere todavia un catalogo centralizado como sistema separado.

La decision responde directamente a los hallazgos recientes: carpetas sin responsable identificable y decenas de archivos duplicados generados por falta de visibilidad sobre lo que ya existia. Exigir estos tres datos minimos no resuelve automaticamente los duplicados ya existentes, pero evita que el problema siga creciendo al mismo ritmo.

Se excluye explicitamente de esta obligacion a los objetos ya existentes con anterioridad a esta decision: su regularizacion se tratara como una iniciativa aparte, dado que requiere identificar retroactivamente propietarios que hoy no constan en ningun lado.

Se establece revision trimestral del cumplimiento: Gobierno de Datos y Calidad auditara una muestra de objetos nuevos cada tres meses y reportara el porcentaje que cumple con los tres metadatos obligatorios."
"DOC-019","Propuesta: regularizacion retroactiva de carpetas huerfanas y duplicados","propuesta_mejora","data_lake","duplicados","2026-03-20","EQ04","","","","minio-datalake","","interno","1.0","vigente","true","regularizacion retroactiva|limpieza de duplicados|responsable retroactivo","Propuesta de mejora - Gobierno de Datos y Calidad (EQ04).

La decision de exigir metadatos obligatorios para objetos nuevos en minio-datalake dejo explicitamente fuera de alcance la regularizacion de los objetos existentes con anterioridad, entre ellos los 37 grupos de archivos duplicados identificados en el analisis de febrero.

Se propone una iniciativa acotada de tres pasos para cerrar esa brecha. Primero, contactar a cada equipo para reconstruir, en la medida de lo posible, quien genero cada carpeta huerfana a partir del historial de acceso disponible; donde no sea posible identificar un responsable, la carpeta se marca como ""sin propietario confirmado"" en lugar de eliminarse sin revision. Segundo, para los 37 grupos de duplicados exactos ya identificados, conservar unicamente la copia con metadatos mas completos y archivar -no eliminar de inmediato- las copias redundantes en un prefijo separado, con un plazo de treinta dias antes de un borrado definitivo. Tercero, incorporar una verificacion automatica que compare la huella de contenido de cada objeto nuevo contra lo ya existente, para advertir antes de que se genere un duplicado exacto.

Se estima que esta limpieza recupera cerca del 18% del espacio ocupado en el prefijo de aterrizaje sin poner en riesgo ningun dato irremplazable, dado que ningun archivo se elimina sin un periodo de gracia previo."
"DOC-020","Warehouse, data lake o lakehouse: evaluacion comparativa para la plataforma","evaluacion_alternativas","lakehouse","comparacion_arquitecturas","2026-04-10","EQ01","","","","","","publico","1.0","vigente","true","warehouse|data lake|lakehouse|eleccion de arquitectura","Infraestructura y Plataforma (EQ01) e Ingenieria de Datos (EQ02) documentan la evaluacion comparativa solicitada por direccion tecnica sobre tres caminos posibles para evolucionar la plataforma de datos.

Sostener y ampliar el warehouse analitico actual: mantiene el modelo dimensional ya probado, con buen desempeno para los reportes e indicadores que hoy consume Analitica de Negocio, pero exige transformar y tipar los datos antes de cargarlos, lo que agrega latencia cuando aparece una fuente nueva y poco estable, como los eventos de inferencia.

Migrar a un data lake puro sobre minio-datalake, sin capa analitica estructurada encima: ofrece flexibilidad maxima para aterrizar cualquier formato sin definir esquema de antemano, pero hoy ya se evidencio, con el incidente de archivos sin metadatos, que esa flexibilidad sin gobierno deriva rapidamente en desorden y dificultad para consultar.

Adoptar una arquitectura de tipo lakehouse, que agregue sobre el almacenamiento de objetos capacidades transaccionales y de catalogo hoy ausentes: resolveria en teoria la tension entre flexibilidad y confiabilidad, pero implica incorporar componentes nuevos (formato de tabla transaccional, catalogo, control de versiones de esquema) que el equipo no opera hoy y que requieren aprendizaje y mantenimiento adicional.

Se concluye que ninguna de las tres opciones es superior en abstracto: la eleccion depende de que problema concreto se busca resolver. Se eleva esta evaluacion como insumo directo para una decision formal, evitando adoptar la alternativa de mayor complejidad por defecto."
