"consulta_id","consulta","documentos_relevantes_esperados","categoria_esperada","motivo_relevancia","filtro_sql_sugerido"
"CON-11","¿Cómo se corrigen y validan los datos antes de que pasen a la siguiente etapa del pipeline?","DOC-025","arquitectura_medallion","Es la descripcion funcional de las tareas de la capa Plata, semanticamente cercana a DOC-024 pero correspondiente a la etapa siguiente.","WHERE d.categoria = 'arquitectura_medallion' AND d.activo = TRUE"
"CON-12","¿Cómo puedo rastrear de dónde sale un número que aparece en un dashboard ejecutivo?","DOC-026","arquitectura_medallion","Pregunta directa por trazabilidad extremo a extremo, resuelta por el documento que describe el recorrido Bronce-Plata-Oro-tablero.","WHERE d.categoria = 'arquitectura_medallion'"
"CON-13","¿Nos conviene seguir ampliando el warehouse actual o migrar a otro tipo de arquitectura?","DOC-020","lakehouse","Corresponde a la evaluacion comparativa explicita entre warehouse, lake y lakehouse.","WHERE d.categoria = 'lakehouse'"
"CON-14","¿En qué casos conviene guardar datos sin estructurarlos de antemano en vez de un warehouse tradicional?","DOC-020|DOC-013","lakehouse","Semanticamente cercana a CON-13 pero enfocada en el data lake y en la eleccion ETL/ELT, util para ver como la busqueda distingue matices dentro del mismo tema.","WHERE d.categoria IN ('lakehouse', 'warehouse_analitico')"
"CON-15","¿Ya contamos con una arquitectura lakehouse completa y madura?","DOC-022","lakehouse","El documento responde negativamente y detalla que falta, siendo un caso claro de correspondencia semantica con la pregunta.","WHERE d.categoria = 'lakehouse' AND d.activo = TRUE"
"CON-16","¿Deberíamos sumar capacidades más avanzadas de gestión de tablas ahora mismo o esperar a necesitarlas?","DOC-021","lakehouse","Formulacion indirecta de la decision de no adoptar lakehouse completo para evitar complejidad innecesaria.","WHERE d.categoria = 'lakehouse' AND d.activo = TRUE"
"CON-17","¿Conviene transformar los datos antes de cargarlos o cargarlos primero y transformarlos después?","DOC-013","warehouse_analitico","Consulta directa sobre la eleccion ETL vs ELT para una fuente nueva.","WHERE d.categoria = 'warehouse_analitico'"
"CON-18","¿Nuestra plataforma combina servidores propios con capacidad contratada a un proveedor externo?","DOC-001|DOC-004","infraestructura_despliegue","Describe el esquema hibrido on-premise/cloud y la decision de sostenerlo frente a una propuesta de consolidacion total.","WHERE d.categoria = 'infraestructura_despliegue' AND d.activo = TRUE"
"CON-19","¿Hasta cuánto puede crecer el tráfico de datos antes de que un componente deje de aguantarlo?","DOC-028","big_data_costos","Pregunta por limites de escalabilidad, resuelta por el informe sobre crecimiento de eventos de inferencia por encima de lo dimensionado.","WHERE d.categoria = 'big_data_costos' AND f.fecha_indexacion >= '2026-05-01'"
"CON-20","Los registros que recibimos no siempre traen los mismos campos completos, ¿es un problema real?","DOC-029","big_data_costos","Describe variedad y veracidad del dato (campos ausentes, marcas de tiempo imposibles) sin usar esos terminos tecnicos.","WHERE d.categoria = 'big_data_costos'"
"CON-21","Un tablero mostró un número que no coincidía con lo que había en los archivos más recientes de la capa intermedia","DOC-023","lakehouse","Describe la desincronizacion entre Plata y el warehouse sin nombrar 'Plata' ni 'sincronizacion' de forma literal.","WHERE d.categoria = 'lakehouse' AND d.activo = TRUE"
"CON-22","¿Nos conviene contratar un servicio de base de datos administrado por un proveedor o seguir operando el nuestro?","DOC-005|DOC-007","servicios_cloud","Cubre dos evaluaciones sobre servicios gestionados frente a infraestructura propia, en dos componentes distintos del mismo tema.","WHERE d.categoria = 'servicios_cloud'"
"CON-23","¿Es lo mismo usar una API compatible con almacenamiento de objetos que contratar un servicio de almacenamiento en la nube?","DOC-006","servicios_cloud","Comparte vocabulario de almacenamiento con consultas de IaaS/PaaS pero resuelve una confusion conceptual especifica distinta de CON-22.","WHERE d.categoria = 'servicios_cloud'"
"CON-24","Encontramos un error en una regla de cálculo y necesitamos rehacer los resultados de meses anteriores","DOC-027","arquitectura_medallion","Formulacion indirecta de reprocesamiento historico por correccion de una regla de normalizacion.","WHERE d.categoria = 'arquitectura_medallion'"
"CON-25","Buscar problemas de calidad relacionados con la capa Plata, pero solamente en documentos vigentes del equipo de Ingeniería de Datos","DOC-025","arquitectura_medallion","Consulta de ejemplo que exige combinar similitud semantica sobre 'calidad en Plata' con un filtro estructurado (categoria + activo). La mencion a 'equipo de Ingenieria de Datos' no tiene columna propia en el esquema minimo de la practica (documentos/fragmentos no guardan equipo_id): queda como motivacion para la extension opcional con JSONB del slide 16.","WHERE d.categoria = 'arquitectura_medallion' AND d.activo = TRUE"
